A̱o,Trimestre,Accesos por cada 100 hogares,Accesos por cada 100 hab,Periodo,Ingresos (miles de pesos),Mbps (Media de bajada)
2022,4,"77,21","24,15",Oct-Dic 2022,72,10656
2022,3,"76,64","23,95",Jul-Sept 2022,64,6246
2022,2,"75,97","23,72",Abr-Jun 2022,60,5844
2022,1,"73,88","23,05",Ene-Mar 2022,55,5511
2021,4,"73,18","22,81",Oct-Dic 2021,45,5234
2021,3,"70,58","21,98",Jul-Sept 2021,43,4846
2021,2,"69,24","21,55",Abr-Jun 2021,38,4563
2021,1,"67,95","21,13",Ene-Mar 2021,37,4311
2020,4,"67,62","21,01",Oct-Dic 2020,34,4236
2020,3,"66,31","20,59",Jul-Sept 2020,32,4067
2020,2,"64,21","19,92",Abr-Jun 2020,32,3832
2020,1,"62,86","19,48",Ene-Mar 2020,30,3752
2019,4,"62,92","19,49",Oct-Dic 2019,24,2826
2019,3,"65,79","20,36",Jul-Sept 2019,22,2418
2019,2,"64,53","19,96",Abr-Jun 2019,21,2033
2019,1,"62,48","19,31",Ene-Mar 2019,20,1738
2018,4,"61,42","18,97",Oct-Dic 2018,17,1595
2018,3,"60,69","18,73",Jul-Sept 2018,15,1536
2018,2,"59,16","18,24",Abr-Jun 2018,14,1385
2018,1,"58,82","18,12",Ene-Mar 2018,13,1322
2017,4,"57,78","17,79",Oct-Dic 2017,11,1201
2017,3,"56,90","17,51",Jul-Sept 2017,10,834
2017,2,"54,90","16,88",Abr-Jun 2017,10,716
2017,1,"54,16","16,64",Ene-Mar 2017,9,662
2016,4,"53,94","16,56",Oct-Dic 2016,7,634
2016,3,"53,73","16,50",Jul-Sept 2016,7,594
2016,2,"53,34","16,37",Abr-Jun 2016,7,542
2016,1,"51,85","15,90",Ene-Mar 2016,6,508
2015,4,"52,63","16,12",Oct-Dic 2015,5,499
2015,3,"52,46","16,05",Jul-Sept 2015,5,479
2015,2,"51,76","15,82",Abr-Jun 2015,5,455
2015,1,"51,36","15,68",Ene-Mar 2015,5,435
2014,4,"50,50","15,39",Oct-Dic 2014,4,416
2014,3,"50,67","15,43",Jul-Sept 2014,3,387
2014,2,"49,86","15,16",Abr-Jun 2014,3,376
2014,1,"49,55","15,05",Ene-Mar 2014,3,362
