Año,Trimestre,Provincia,+ 30 Mbps,OTROS,Total,hasta 1 mbps,1 mbps - 10 mbps,10 Mbps - 30 Mbps,indice
2022,4,Buenos Aires,3760109,97634.0,4794665,52281,288021,254422,0
2022,4,Capital Federal,1299117,106772.0,1551926,10256,95973,44452,1
2022,4,Catamarca,52739,228.0,70909,3860,7744,7760,2
2022,4,Chaco,94866,3909.0,143663,12320,33913,9743,3
2022,4,Chubut,19048,20026.0,168759,2704,77464,36305,4
2022,4,Córdoba,686330,1761.0,1049660,10919,251881,27003,5
2022,4,Corrientes,85806,7998.0,155453,3952,47505,7402,6
2022,4,Entre Ríos,130406,0.0,270974,5792,46096,43410,7
2022,4,Formosa,18930,6980.0,61840,3290,34849,9824,8
2022,4,Jujuy,46910,0.0,118218,2343,20059,6993,9
2022,4,La Pampa,19783,16028.0,114164,2367,62952,13646,10
2022,4,La Rioja,50644,0.0,86262,6130,2832,29464,11
2022,4,Mendoza,161163,21144.0,292104,3984,55896,50844,12
2022,4,Misiones,101745,859.0,186269,861,56995,15378,13
2022,4,Neuquén,85247,225.0,160180,11620,40210,18747,14
2022,4,Río Negro,57495,29644.0,162092,2191,45984,27777,15
2022,4,Salta,90014,6747.0,205860,2337,102635,6206,16
2022,4,San Juan,19991,1184.0,103826,2267,41316,10232,17
2022,4,San Luis,2227,3353.0,135220,6840,36469,92487,18
2022,4,Santa Cruz,5559,1048.0,50203,1191,23125,13610,19
2022,4,Santa Fe,453078,1834.0,887691,14054,135209,96244,20
2022,4,Santiago Del Estero,14345,9890.0,119494,3047,84319,24345,21
2022,4,Tierra Del Fuego,1812,2264.0,55260,9240,25283,24977,22
2022,4,Tucumán,153538,15118.0,263422,1952,65421,27744,23
2022,3,Buenos Aires,3618689,65821.0,4721668,57694,588230,279463,24
2022,3,Capital Federal,1253105,105477.0,1547679,10912,102200,80638,25
2022,3,Catamarca,50298,2208.0,70293,4550,8496,8836,26
2022,3,Chaco,79390,3711.0,144146,14480,35720,23877,27
2022,3,Chubut,17563,20024.0,165778,2534,48801,49991,28
2022,3,Córdoba,650344,13873.0,1038668,12302,264939,98101,29
2022,3,Corrientes,56950,7107.0,144846,4535,47375,29482,30
2022,3,Entre Ríos,102195,16759.0,268959,6619,94065,50284,31
2022,3,Formosa,17704,5890.0,68538,4040,43083,11834,32
2022,3,Jujuy,45895,0.0,118823,2459,34389,41273,33
2022,3,La Pampa,22731,3012.0,116092,2567,71193,17201,34
2022,3,La Rioja,50390,0.0,86864,7070,6217,29550,35
2022,3,Mendoza,150043,4771.0,289523,3983,66209,65444,36
2022,3,Misiones,80330,835.0,182157,4259,57386,32291,37
2022,3,Neuquén,78713,14858.0,163161,11250,39893,159,38
2022,3,Río Negro,42596,24271.0,160558,2331,34722,41563,39
2022,3,Salta,85661,6491.0,204541,1289,104122,6663,40
2022,3,San Juan,19221,11619.0,103399,2267,41571,22835,41
2022,3,San Luis,13,14815.0,122070,3670,27376,79499,42
2022,3,Santa Cruz,4604,6470.0,49510,7361,23655,13711,43
2022,3,Santa Fe,396352,20209.0,887810,15812,331297,128352,44
2022,3,Santiago Del Estero,12342,7920.0,119032,3164,87339,25187,45
2022,3,Tierra Del Fuego,1021,3351.0,53896,8530,26817,21854,46
2022,3,Tucumán,159600,2800.0,263117,2437,71589,29562,47
2022,2,Buenos Aires,3535757,65849.0,4667183,58962,602792,403823,48
2022,2,Capital Federal,1229254,105607.0,1536771,5768,108470,86943,49
2022,2,Catamarca,43926,2207.0,67008,4840,9833,10558,50
2022,2,Chaco,76271,3708.0,143564,5657,37712,24365,51
2022,2,Chubut,15394,20021.0,162805,2534,77021,17955,52
2022,2,Córdoba,619400,13426.0,1026435,12961,280971,100568,53
2022,2,Corrientes,55071,7107.0,144997,4607,49095,29720,54
2022,2,Entre Ríos,98769,16759.0,269352,6726,97194,50867,55
2022,2,Formosa,16326,5900.0,67881,5040,43540,6543,56
2022,2,Jujuy,37391,2453.0,115314,2409,21037,43276,57
2022,2,La Pampa,17125,3012.0,111527,2567,72388,5365,58
2022,2,La Rioja,48920,0.0,86030,7460,3568,29295,59
2022,2,Mendoza,121366,394.0,279562,3984,67518,83681,60
2022,2,Misiones,75107,835.0,178813,4318,58966,32531,61
2022,2,Neuquén,76982,18717.0,161968,11330,53892,11244,62
2022,2,Río Negro,41972,2427.0,159764,2337,51302,40882,63
2022,2,Salta,81478,6494.0,203177,1293,106393,7168,64
2022,2,San Juan,16701,11617.0,100407,2267,41661,28377,65
2022,2,San Luis,13,14815.0,121741,3660,28057,78490,66
2022,2,Santa Cruz,3592,6440.0,49185,7361,23717,14339,67
2022,2,Santa Fe,373888,17584.0,878859,16437,342915,132247,68
2022,2,Santiago Del Estero,10672,7920.0,118044,3181,89512,23436,69
2022,2,Tierra Del Fuego,1006,3351.0,53770,8530,26880,21680,70
2022,2,Tucumán,145541,2810.0,254527,2585,77974,28497,71
2022,1,Buenos Aires,3381049,2628.0,4555424,61647,635138,451310,72
2022,1,Capital Federal,1188072,1717.0,1417541,10845,47657,104342,73
2022,1,Catamarca,35715,2207.0,62378,5270,11395,12534,74
2022,1,Chaco,62946,758.0,144119,5709,38123,33910,75
2022,1,Chubut,14055,15607.0,171628,2807,93225,17179,76
2022,1,Córdoba,577027,13104.0,1003803,13782,291931,108859,77
2022,1,Corrientes,43631,7094.0,142578,4699,50228,37529,78
2022,1,Entre Ríos,81757,1675.0,267926,6815,55037,63872,79
2022,1,Formosa,15028,5880.0,54548,5450,31058,13773,80
2022,1,Jujuy,35287,2442.0,116509,2341,38462,43683,81
2022,1,La Pampa,14400,2833.0,109732,5233,72681,12569,82
2022,1,La Rioja,45970,0.0,84303,7960,8268,29269,83
2022,1,Mendoza,95048,3287.0,275185,4495,77637,95744,84
2022,1,Misiones,58610,8349.0,171508,4383,57916,42709,85
2022,1,Neuquén,71238,7885.0,149679,2493,55479,13817,86
2022,1,Río Negro,37729,22652.0,157374,2543,54424,41070,87
2022,1,Salta,76838,6489.0,197515,2865,103822,8527,88
2022,1,San Juan,11916,2465.0,88178,2529,44270,27232,89
2022,1,San Luis,13,28589.0,119844,7040,12124,78414,90
2022,1,Santa Cruz,2551,4850.0,49102,7408,24212,14905,91
2022,1,Santa Fe,344170,18444.0,870479,17115,352157,142805,92
2022,1,Santiago Del Estero,8309,7920.0,116461,3181,36337,22032,93
2022,1,Tierra Del Fuego,982,2421.0,52611,9180,14413,19801,94
2022,1,Tucumán,133846,2730.0,245584,2602,82989,26225,95
2021,4,Buenos Aires,3259793,22958.0,4509157,48847,684242,493317,96
2021,4,Capital Federal,1147939,0.0,1412119,7325,129032,132890,97
2021,4,Catamarca,29827,2233.0,59090,710,13893,13066,98
2021,4,Chaco,58435,7585.0,143745,5730,41523,35629,99
2021,4,Chubut,2904,15763.0,160308,2554,103266,31753,100
2021,4,Córdoba,538700,12607.0,986770,3479,315440,117444,101
2021,4,Corrientes,39911,7082.0,135912,7120,55198,33009,102
2021,4,Entre Ríos,77290,16583.0,265046,4094,105679,62363,103
2021,4,Formosa,13775,1967.0,53663,840,29891,7946,104
2021,4,Jujuy,33421,2324.0,113915,2330,39239,43774,105
2021,4,La Pampa,12184,3027.0,107007,7940,73922,17080,106
2021,4,La Rioja,43424,0.0,83128,190,10455,29230,107
2021,4,Mendoza,75031,3660.0,267587,3023,96736,93835,108
2021,4,Misiones,54596,8335.0,171132,560,65470,42675,109
2021,4,Neuquén,69217,7767.0,147466,10800,55577,10846,110
2021,4,Río Negro,36142,22645.0,153753,2734,58251,31668,111
2021,4,Salta,72622,6475.0,199405,1340,109997,10177,112
2021,4,San Juan,9800,4435.0,79958,1882,39861,27958,113
2021,4,San Luis,9,29218.0,118849,3260,12826,76470,114
2021,4,Santa Cruz,876,4910.0,48486,3490,31946,13231,115
2021,4,Santa Fe,322015,18777.0,866441,10480,376562,70918,116
2021,4,Santiago Del Estero,7537,7930.0,115861,10870,93439,20205,117
2021,4,Tierra Del Fuego,1017,258.0,52357,4110,30039,18310,118
2021,4,Tucumán,125857,2400.0,238639,1360,86057,26349,119
2021,3,Buenos Aires,2482266,9728.0,4251609,68342,1357093,334180,120
2021,3,Capital Federal,1075229,0.0,1413405,8980,223991,113287,121
2021,3,Catamarca,26618,2206.0,56254,710,15183,12176,122
2021,3,Chaco,49705,7958.0,139871,4130,43531,38264,123
2021,3,Chubut,1643,14907.0,156066,2090,115449,19070,124
2021,3,Córdoba,476459,9256.0,946788,3442,346274,53703,125
2021,3,Corrientes,35468,5053.0,133819,7120,58107,34479,126
2021,3,Entre Ríos,67961,12755.0,260375,4094,121130,55398,127
2021,3,Formosa,12707,1617.0,52795,3810,29920,8170,128
2021,3,Jujuy,29917,2401.0,111158,2230,40301,43365,129
2021,3,La Pampa,10506,4152.0,100487,6110,72458,12760,130
2021,3,La Rioja,42613,0.0,82160,190,11345,28183,131
2021,3,Mendoza,21087,500.0,255939,670,153135,70224,132
2021,3,Misiones,42291,8279.0,158528,560,67031,40871,133
2021,3,Neuquén,57919,5579.0,139809,4390,66007,9865,134
2021,3,Río Negro,34011,20009.0,144585,6820,69364,3770,135
2021,3,Salta,67010,6327.0,195833,1210,111535,10840,136
2021,3,San Juan,278,4641.0,79483,3510,67393,4705,137
2021,3,San Luis,22,29392.0,117864,600,13957,74433,138
2021,3,Santa Cruz,678,7350.0,48976,500,38926,8587,139
2021,3,Santa Fe,290793,16267.0,841584,10460,213332,89449,140
2021,3,Santiago Del Estero,6863,8980.0,115458,10320,94590,19284,141
2021,3,Tierra Del Fuego,976,8950.0,50223,170,37120,11215,142
2021,3,Tucumán,115154,1640.0,232472,1290,89739,22039,143
2021,2,Buenos Aires,2337604,9108.0,4132351,68370,1340050,377219,144
2021,2,Capital Federal,1037752,660.0,1400355,8970,231126,130514,145
2021,2,Catamarca,25388,2206.0,55744,710,16310,11769,146
2021,2,Chaco,47239,7958.0,140729,4130,45018,40101,147
2021,2,Chubut,1112,5172.0,139237,2090,112244,20500,148
2021,2,Córdoba,442357,9925.0,930880,3442,338273,77519,149
2021,2,Corrientes,32697,5053.0,129501,7120,56456,34583,150
2021,2,Entre Ríos,61605,16077.0,257632,4094,118867,57952,151
2021,2,Formosa,11077,1618.0,51551,3810,23095,2087,152
2021,2,Jujuy,29950,2401.0,111848,2230,40759,43978,153
2021,2,La Pampa,9311,4062.0,97667,8520,71915,11527,154
2021,2,La Rioja,42158,190.0,81602,190,11283,28123,155
2021,2,Mendoza,20686,500.0,229671,670,148348,60520,156
2021,2,Misiones,38308,8279.0,156176,560,67550,41983,157
2021,2,Neuquén,54008,5645.0,138250,4390,66344,11814,158
2021,2,Río Negro,31488,20009.0,144084,6820,73019,18886,159
2021,2,Salta,58882,6328.0,191639,1210,109555,16753,160
2021,2,San Juan,278,4641.0,78933,3510,67829,4655,161
2021,2,San Luis,22,36917.0,122818,600,14455,71364,162
2021,2,Santa Cruz,676,7350.0,48982,500,39058,8463,163
2021,2,Santa Fe,262124,15371.0,840600,13630,406095,155647,164
2021,2,Santiago Del Estero,6064,1566.0,114090,10320,94258,18469,165
2021,2,Tierra Del Fuego,889,1483.0,35693,170,28248,5218,166
2021,2,Tucumán,109616,268.0,233051,1290,91872,28754,167
2021,1,Buenos Aires,2246313,10867.0,4060002,68126,1132420,385808,168
2021,1,Capital Federal,1003041,1260.0,1379673,3790,236415,139712,169
2021,1,Catamarca,22996,2196.0,51968,710,15878,17235,170
2021,1,Chaco,42462,8384.0,139770,4130,46459,42052,171
2021,1,Chubut,1112,439.0,132340,2150,108387,18236,172
2021,1,Córdoba,402191,12677.0,910881,3316,346891,146643,173
2021,1,Corrientes,27641,5453.0,126625,5940,57767,35170,174
2021,1,Entre Ríos,54600,12826.0,251963,3961,72861,58206,175
2021,1,Formosa,9579,1942.0,50686,560,29978,9131,176
2021,1,Jujuy,25609,2378.0,110456,2240,41028,46329,177
2021,1,La Pampa,7368,2424.0,97105,8520,76064,10397,178
2021,1,La Rioja,5074,-10.0,52628,190,42717,6754,179
2021,1,Mendoza,16615,440.0,218923,680,145602,56594,180
2021,1,Misiones,32953,8256.0,149387,5750,66452,28506,181
2021,1,Neuquén,50840,5758.0,133235,4430,64614,11580,182
2021,1,Río Negro,29589,20103.0,141168,5910,74198,16687,183
2021,1,Salta,54889,6319.0,187574,1290,108934,17303,184
2021,1,San Juan,276,4641.0,78267,2190,69019,14894,185
2021,1,San Luis,22,36917.0,119154,580,14815,67342,186
2021,1,Santa Cruz,647,-1945.0,46065,500,38989,8324,187
2021,1,Santa Fe,236924,24382.0,826127,14090,406090,157322,188
2021,1,Santiago Del Estero,4868,4144.0,111641,10320,92348,15549,189
2021,1,Tierra Del Fuego,919,11836.0,40422,170,22847,9177,190
2021,1,Tucumán,103437,268.0,231912,1260,96226,29443,191
2020,4,Buenos Aires,2176242,9016.0,4033261,68136,1352108,427759,192
2020,4,Capital Federal,1000073,2680.0,1379530,3790,238333,140477,193
2020,4,Catamarca,20406,2309.0,52396,710,9717,17346,194
2020,4,Chaco,40949,7965.0,139091,4130,47261,42503,195
2020,4,Chubut,1112,4402.0,130574,2150,109981,14864,196
2020,4,Córdoba,384169,13568.0,902701,3576,350225,152234,197
2020,4,Corrientes,26789,4985.0,125659,5940,58221,35070,198
2020,4,Entre Ríos,53141,14654.0,247381,3961,119215,40921,199
2020,4,Formosa,8946,168.0,50206,560,31146,8378,200
2020,4,Jujuy,19282,2811.0,105851,2310,38151,8953,201
2020,4,La Pampa,6257,252.0,96895,8520,78308,8958,202
2020,4,La Rioja,4979,0.0,52778,190,37512,6443,203
2020,4,Mendoza,11557,257.0,215453,680,157484,43774,204
2020,4,Misiones,32264,7001.0,147161,5750,66066,27926,205
2020,4,Neuquén,50776,572.0,133135,4430,64912,11284,206
2020,4,Río Negro,29372,20146.0,141210,5910,74458,16643,207
2020,4,Salta,46697,6319.0,187390,6230,110272,23479,208
2020,4,San Juan,275,4588.0,72596,2190,68716,8446,209
2020,4,San Luis,22,36918.0,119435,580,14369,64927,210
2020,4,Santa Cruz,647,7580.0,40674,470,31555,7667,211
2020,4,Santa Fe,226246,23602.0,820813,14090,410165,159391,212
2020,4,Santiago Del Estero,4520,3932.0,106669,10320,40277,8776,213
2020,4,Tierra Del Fuego,922,669.0,39614,170,28000,8377,214
2020,4,Tucumán,93594,268.0,231089,1260,98429,36260,215
2020,3,Buenos Aires,2085815,19853.0,3937277,69056,1137294,414020,216
2020,3,Capital Federal,977766,2470.0,1372675,5760,247305,146781,217
2020,3,Catamarca,18886,2154.0,49904,630,17044,16815,218
2020,3,Chaco,38729,7194.0,133954,4200,46314,41297,219
2020,3,Chubut,1110,3942.0,130027,2670,109673,15035,220
2020,3,Córdoba,361021,11728.0,867472,4744,343432,148059,221
2020,3,Corrientes,25344,502.0,123391,5990,58505,33923,222
2020,3,Entre Ríos,49395,15759.0,241495,4211,118126,55174,223
2020,3,Formosa,8219,1737.0,49209,5420,30595,17035,224
2020,3,Jujuy,15238,3065.0,106728,2370,42697,48128,225
2020,3,La Pampa,6322,4029.0,93735,11030,67477,7766,226
2020,3,La Rioja,4748,20.0,52616,220,43060,1706,227
2020,3,Mendoza,8237,450.0,207788,980,153527,45881,228
2020,3,Misiones,30987,8779.0,143186,5950,63220,39605,229
2020,3,Neuquén,49439,8030.0,129235,5450,67024,11424,230
2020,3,Río Negro,28488,19093.0,131467,5800,72755,10551,231
2020,3,Salta,43773,14996.0,180846,6430,97516,9527,232
2020,3,San Juan,128,415.0,77327,2420,72636,6939,233
2020,3,San Luis,8,36917.0,116565,1050,15550,63985,234
2020,3,Santa Cruz,120,8330.0,39281,660,30903,6963,235
2020,3,Santa Fe,210562,27001.0,802998,6921,412734,150892,236
2020,3,Santiago Del Estero,3994,4801.0,105492,10420,90705,7578,237
2020,3,Tierra Del Fuego,937,6992.0,39655,110,27508,8536,238
2020,3,Tucumán,84195,2637.0,223876,1490,51374,36372,239
2020,2,Buenos Aires,1894466,21233.0,3777546,69148,1370572,422127,240
2020,2,Capital Federal,935481,6870.0,1357821,5760,261059,87874,241
2020,2,Catamarca,16578,3176.0,47976,630,9670,14502,242
2020,2,Chaco,33311,6969.0,128132,12360,26464,41126,243
2020,2,Chubut,614,3999.0,108656,2670,91766,12010,244
2020,2,Córdoba,325243,8971.0,836468,6063,344957,72169,245
2020,2,Corrientes,22418,502.0,118866,5990,57087,33742,246
2020,2,Entre Ríos,43391,14569.0,234113,4979,71822,17065,247
2020,2,Formosa,7475,1313.0,47932,5420,30643,16608,248
2020,2,Jujuy,9417,16557.0,94316,2370,41067,28919,249
2020,2,La Pampa,3377,1123.0,89809,11030,78749,1695,250
2020,2,La Rioja,4336,20.0,52155,220,43036,5416,251
2020,2,Mendoza,5422,245.0,201184,980,154692,38522,252
2020,2,Misiones,28763,8646.0,140340,5950,63586,38750,253
2020,2,Neuquén,46432,0.0,126172,5450,67274,11921,254
2020,2,Río Negro,26953,17057.0,129486,5800,74152,10744,255
2020,2,Salta,39594,6531.0,177762,6430,106264,24730,256
2020,2,San Juan,127,443.0,69777,2420,68283,5308,257
2020,2,San Luis,8,35992.0,113952,1050,15024,62823,258
2020,2,Santa Cruz,119,4930.0,38869,660,31104,12001,259
2020,2,Santa Fe,189473,20193.0,777932,7741,411826,153811,260
2020,2,Santiago Del Estero,3328,4516.0,105447,3109,90266,7648,261
2020,2,Tierra Del Fuego,796,7446.0,39189,110,27511,6944,262
2020,2,Tucumán,74377,2635.0,217156,1490,103565,36430,263
2020,1,Buenos Aires,1802583,28935.0,3718747,75017,1358455,268555,264
2020,1,Capital Federal,906009,0.0,1354054,5760,271905,175564,265
2020,1,Catamarca,10299,2151.0,38860,630,16381,13638,266
2020,1,Chaco,28539,6917.0,120226,12360,43267,40267,267
2020,1,Chubut,614,45.0,96920,2670,82543,7880,268
2020,1,Córdoba,296875,9802.0,810924,6548,337417,161560,269
